# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
9.077655297357777320e-01 5.670139647452096532e-03 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
7.941249239129947774e-05 9.685810329509412231e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.405993929040306512e-01 8.674812832424153020e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
4.588131617965357512e-01 4.297752223847236402e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
4.365521854062656693e-01 4.620387473909531861e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.250145290625901739e-01 9.520820359572727820e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.302265889557695427e-02 3.133086403620767291e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.526010596018385956e-01 8.287996966926086673e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
5.107286926242345926e-01 3.672963936910520616e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
6.978569419708381405e-01 1.766882559991300380e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
1.973762256423839193e-02 3.359033089634104186e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
7.142192086443889254e-01 1.657532300253081528e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
5.913872863826566406e-03 4.952515762389194109e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
3.398395836563116723e-01 6.186494097592537544e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.031540246652859243e-03 6.293693321165221288e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
4.892600855127061110e-01 3.810574551885648198e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
6.673372244967334943e-03 4.772145600869143189e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
8.724256823496310750e-03 4.284253326454185995e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
8.666706921556989462e-02 1.766038276663282613e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
9.481439475685252138e-02 1.660845837969062433e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
4.259662123344108431e-01 4.862831237118938471e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
3.551748249520021439e-01 5.820892464662819760e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
1.316178040205516139e-02 3.670293967706955152e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
8.688624709221053344e-01 7.868165066015926981e-03 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
8.295885813171538156e-03 4.470657244774722816e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
7.524068264976667697e-01 1.564155934311124707e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.474647655881897688e-04 8.951382352206601611e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
3.020385072468587985e-03 5.587198227886417401e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
2.531119622917043545e-03 6.044984005174738328e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
3.936548925753712014e-02 2.570326981645465469e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
1.728331341171600083e-04 9.142448794732044304e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
6.836327650936898648e-01 2.036494965142943842e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
1.564487101377704664e-03 6.793391884152092386e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
5.529054103675861776e-04 8.107577717176632781e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
4.089481541690953015e-01 4.940601347132510951e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
9.588993130254468535e-04 7.358933338749269470e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
3.794664532200620055e-01 5.582590123187260167e-02 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
5.323984332797739027e-02 2.282725338977622254e-01 0.000000000000000000e+00 6.666666666666666297e-01 6.666666666666666288e+02
