# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
9.732455284194253542e-01 1.138125639229388203e-03 1.138125639229388203e-03 2.000000000000000000e+00 1.000000000000000000e+01
8.291396837705665712e-01 8.084446477350824140e-03 1.373037081377669923e-03 3.000000000000000000e+00 2.300000000000000000e+01
7.143522577449178401e-01 1.479039306008358111e-02 1.367574268137272675e-03 3.000000000000000000e+00 2.200000000000000000e+01
6.192530128030787617e-01 2.144120074315260943e-02 1.306972555233147648e-03 3.000000000000000000e+00 2.600000000000000000e+01
5.383678893023697842e-01 2.814241654728774633e-02 1.296778963395129464e-03 3.000000000000000000e+00 2.700000000000000000e+01
4.704644737301980628e-01 3.480641254184732580e-02 1.249365561981553852e-03 3.000000000000000000e+00 2.600000000000000000e+01
4.128581817971158086e-01 4.146913413983028401e-02 1.200677763991360447e-03 3.000000000000000000e+00 2.700000000000000000e+01
3.666651869474538694e-01 4.805365957174480979e-02 1.073793799932727666e-03 3.000000000000000000e+00 2.400000000000000000e+01
3.223908049717470470e-01 5.478743506306649885e-02 1.096159895281265118e-03 3.000000000000000000e+00 2.400000000000000000e+01
2.877677161042704879e-01 6.079481899085487084e-02 3.921344270964854939e-04 4.000000000000000000e+00 2.500000000000000000e+01
2.538699458169338952e-01 6.801952951675108161e-02 9.054355570195377068e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.267615182515098360e-01 7.479234766133475987e-02 9.668443056300574101e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.029489951328309338e-01 8.153579320667915520e-02 9.988804550013080652e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.833414955032296734e-01 8.817762335281446873e-02 9.293012051634630399e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.644791283330563902e-01 9.493477597533361845e-02 9.750444317094542068e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.492955820146168733e-01 1.010370855301535031e-01 3.659445905561942158e-04 4.000000000000000000e+00 2.700000000000000000e+01
1.337670990270112270e-01 1.082140436342738377e-01 8.314932987033701872e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.215438330252752025e-01 1.149438354760904529e-01 8.498757445468269056e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.112477105673340405e-01 1.211669271177885365e-01 3.615579902717658278e-04 4.000000000000000000e+00 2.700000000000000000e+01
1.014041063283911553e-01 1.280312345487217285e-01 5.144560252317853521e-04 3.000000000000000000e+00 2.400000000000000000e+01
9.211126244469375335e-02 1.351293555328386131e-01 9.011676133755253115e-04 3.000000000000000000e+00 2.200000000000000000e+01
8.466490564603357249e-02 1.412875270949476569e-01 3.479297795114244529e-04 4.000000000000000000e+00 2.900000000000000000e+01
7.684792996801360909e-02 1.484980631661015904e-01 8.470564546921854898e-04 3.000000000000000000e+00 2.200000000000000000e+01
7.115539204715387589e-02 1.549582773708201300e-01 5.958612634375803907e-04 3.000000000000000000e+00 2.000000000000000000e+01
6.522727722008342388e-02 1.619215608007044116e-01 8.477352973487173315e-04 3.000000000000000000e+00 2.500000000000000000e+01
6.034924810821005320e-02 1.680759502199694055e-01 2.907153206405388435e-04 4.000000000000000000e+00 2.700000000000000000e+01
5.524456129805235122e-02 1.753287057009063066e-01 8.320614056042952011e-04 3.000000000000000000e+00 2.500000000000000000e+01
5.139030820321822957e-02 1.818691419526263786e-01 6.610882613512225614e-04 3.000000000000000000e+00 2.000000000000000000e+01
4.743620910083230779e-02 1.887831745691157803e-01 8.637114818674518357e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.386886002040134985e-02 1.955588833986101338e-01 9.280109153886606510e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.070356089084679191e-02 2.022514126896515219e-01 9.091308104569040260e-04 3.000000000000000000e+00 2.200000000000000000e+01
3.802469724703852472e-02 2.083622863397550373e-01 3.085950645872470588e-04 4.000000000000000000e+00 2.600000000000000000e+01
3.510634281715473148e-02 2.156316572760162142e-01 8.665566048752793016e-04 3.000000000000000000e+00 2.600000000000000000e+01
3.276268431288641841e-02 2.222836457079963857e-01 8.071356408823060491e-04 3.000000000000000000e+00 2.200000000000000000e+01
3.056277144359122871e-02 2.290571265748307384e-01 8.692071117434863048e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.853974893911691291e-02 2.357987874183062604e-01 8.994585592458637091e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.673327308671945984e-02 2.425142052445411756e-01 9.034669895076341550e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.499710946230063527e-02 2.492766138626284766e-01 9.544662116217628167e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.337111019331844161e-02 2.560387805099719749e-01 1.005223462992088646e-03 3.000000000000000000e+00 2.600000000000000000e+01
2.191628188217389570e-02 2.627038391428740960e-01 9.588726999210650526e-04 3.000000000000000000e+00 2.600000000000000000e+01
2.066119054052398263e-02 2.688271812610130707e-01 3.708054220868950424e-04 4.000000000000000000e+00 2.800000000000000000e+01
1.928097818366032723e-02 2.761064954916818137e-01 9.387102567824934241e-04 3.000000000000000000e+00 2.600000000000000000e+01
1.814199245989778567e-02 2.828083250743051447e-01 9.291304434326796979e-04 3.000000000000000000e+00 2.600000000000000000e+01
1.707104993399006718e-02 2.895841245468712688e-01 9.935205200256591596e-04 3.000000000000000000e+00 2.800000000000000000e+01
