# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
9.732455284194253542e-01 1.138125639229388203e-03 1.138125639229388203e-03 2.000000000000000000e+00 1.000000000000000000e+01
8.291745353249082573e-01 8.081543778399867192e-03 1.370134382426712975e-03 3.000000000000000000e+00 2.300000000000000000e+01
7.144076069340111745e-01 1.478366247750082831e-02 1.360843685554519872e-03 3.000000000000000000e+00 2.200000000000000000e+01
6.192449516126373732e-01 2.144167297110523632e-02 1.307444783185774534e-03 3.000000000000000000e+00 2.600000000000000000e+01
5.415278654493074217e-01 2.759286367504219795e-02 7.472260911495810787e-04 4.000000000000000000e+00 2.800000000000000000e+01
4.701330035379983063e-01 3.451834377511125984e-02 9.612967952454878895e-04 3.000000000000000000e+00 2.600000000000000000e+01
4.165812737339445460e-01 4.048804754230487385e-02 2.195911664659502827e-04 5.000000000000000000e+00 3.000000000000000000e+01
3.624421937337589661e-01 4.788968767751601574e-02 9.098219057039336199e-04 3.000000000000000000e+00 2.500000000000000000e+01
3.230103516937314900e-01 5.411681163674079975e-02 4.255364689555660163e-04 4.000000000000000000e+00 2.500000000000000000e+01
2.848762929656552534e-01 6.126803518319226538e-02 8.653506194338800306e-04 3.000000000000000000e+00 2.200000000000000000e+01
2.548926503218604811e-01 6.711409396065307065e-02 9.215267438023033719e-13 3.200000000000000000e+01 8.500000000000000000e+01
2.247517625501000704e-01 7.468300059280694181e-02 8.574972371022393514e-04 3.000000000000000000e+00 2.700000000000000000e+01
2.015654086840266979e-01 8.140281325779866184e-02 8.659005061208147058e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.826019622280648236e-01 8.733001781900512350e-02 8.169567135411781589e-05 6.000000000000000000e+00 3.200000000000000000e+01
1.630551860177570922e-01 9.475650251232968502e-02 7.967709687055207768e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.474085010572898369e-01 1.015181125847614690e-01 8.469716451641601251e-04 3.000000000000000000e+00 2.200000000000000000e+01
1.344193949833739632e-01 1.074212722714813495e-01 3.872193591088202158e-05 6.000000000000000000e+00 3.300000000000000000e+01
1.210156472527335464e-01 1.148507910601747756e-01 7.568313286311495469e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.101597600813129657e-01 1.216301304769786124e-01 8.247613494618416530e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.010994442868130561e-01 1.282604244273390370e-01 7.436459038490939033e-04 3.000000000000000000e+00 2.200000000000000000e+01
9.246576012942035738e-02 1.343167480164936256e-01 8.856009703053779880e-05 6.000000000000000000e+00 3.300000000000000000e+01
8.404002711908822865e-02 1.417001409771435627e-01 7.605436617073302319e-04 3.000000000000000000e+00 2.300000000000000000e+01
7.747315143864821896e-02 1.479869451232973532e-01 3.359384118879482628e-04 4.000000000000000000e+00 2.800000000000000000e+01
7.095087182902305722e-02 1.550340768315739692e-01 6.716607241914196447e-04 3.000000000000000000e+00 2.300000000000000000e+01
6.514873454567642053e-02 1.619329439756000411e-01 8.591184722443467869e-04 3.000000000000000000e+00 2.500000000000000000e+01
6.036567898211488148e-02 1.678500229044583847e-01 6.478800512951798929e-05 5.000000000000000000e+00 2.900000000000000000e+01
5.532011342369173856e-02 1.752488848388852882e-01 7.522405435832768550e-04 3.000000000000000000e+00 2.400000000000000000e+01
5.131551994012659157e-02 1.816729975094566463e-01 4.649438181814902205e-04 3.000000000000000000e+00 2.300000000000000000e+01
4.737862424485444340e-02 1.887379936329928176e-01 8.185305457444891353e-04 3.000000000000000000e+00 2.300000000000000000e+01
4.390609035454474257e-02 1.954974041176419097e-01 8.665316344204365695e-04 3.000000000000000000e+00 2.400000000000000000e+01
