# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.504616907665666359e-01 6.711468697122071822e-03 0.000000000000000000e+00 2.400000000000000000e+01 4.700000000000000000e+01
7.297909536568746303e-01 1.342285956660477057e-02 0.000000000000000000e+00 1.900000000000000000e+01 3.800000000000000000e+01
6.297427777076111122e-01 2.013422896795916822e-02 0.000000000000000000e+00 1.400000000000000000e+01 2.500000000000000000e+01
5.462338701607595270e-01 2.684567771452335203e-02 0.000000000000000000e+00 1.100000000000000000e+01 2.100000000000000000e+01
4.760946385616662835e-01 3.355706814942015920e-02 0.000000000000000000e+00 1.100000000000000000e+01 2.100000000000000000e+01
4.168408837369779740e-01 4.026846872645132441e-02 0.000000000000000000e+00 1.000000000000000000e+01 1.700000000000000000e+01
3.665079258358929226e-01 4.697988135709662422e-02 0.000000000000000000e+00 1.000000000000000000e+01 1.500000000000000000e+01
3.235327677461751761e-01 5.369128016954176352e-02 0.000000000000000000e+00 1.100000000000000000e+01 1.500000000000000000e+01
2.866834371812202464e-01 6.040282066538130157e-02 0.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+01
2.548930661807169984e-01 6.711409864310313722e-02 0.000000000000000000e+00 1.100000000000000000e+01 1.300000000000000000e+01
2.273949919148768317e-01 7.382550881922497754e-02 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
2.034998669431008489e-01 8.053691689002544229e-02 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.826561789370957645e-01 8.724832767620689655e-02 0.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01
1.644085418682259825e-01 9.395973808484245349e-02 0.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01
1.483786865320117498e-01 1.006711470473675846e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.342513781777833759e-01 1.073825568075496423e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.217613108440527281e-01 1.140939662194136311e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
1.106872290189864355e-01 1.208053757587549265e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
1.008404419048738454e-01 1.275167869442660751e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
