# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
9.999997962055843237e-01 7.715673414724673042e-09 0.000000000000000000e+00 6.100000000000000000e+01 5.100000000000000000e+01
8.504631289450914622e-01 6.711396109014948659e-03 0.000000000000000000e+00 6.100000000000000000e+01 5.600000000000000000e+01
7.297918791511033287e-01 1.342280297161072694e-02 0.000000000000000000e+00 5.700000000000000000e+01 5.100000000000000000e+01
6.297427081474734623e-01 2.013422441865073478e-02 0.000000000000000000e+00 6.200000000000000000e+01 5.700000000000000000e+01
5.462339513510439115e-01 2.684563307923073724e-02 0.000000000000000000e+00 6.000000000000000000e+01 5.300000000000000000e+01
4.760944937797550458e-01 3.355704163414371943e-02 0.000000000000000000e+00 6.200000000000000000e+01 5.500000000000000000e+01
4.168396399130797070e-01 4.026845006846413444e-02 0.000000000000000000e+00 5.900000000000000000e+01 5.100000000000000000e+01
3.665064909897357559e-01 4.697985836444981689e-02 0.000000000000000000e+00 6.000000000000000000e+01 5.100000000000000000e+01
3.235325119956811157e-01 5.369126651276397155e-02 0.000000000000000000e+00 6.000000000000000000e+01 5.200000000000000000e+01
2.866649593034992227e-01 6.040267449854435505e-02 0.000000000000000000e+00 5.900000000000000000e+01 5.000000000000000000e+01
2.548927015602157065e-01 6.711408231013436809e-02 0.000000000000000000e+00 5.700000000000000000e+01 4.800000000000000000e+01
2.273944522666147272e-01 7.382548992160208046e-02 0.000000000000000000e+00 5.900000000000000000e+01 5.000000000000000000e+01
2.034991424551863270e-01 8.053689732931471057e-02 0.000000000000000000e+00 6.200000000000000000e+01 5.600000000000000000e+01
1.826553535900364289e-01 8.724830449821470435e-02 0.000000000000000000e+00 6.000000000000000000e+01 5.200000000000000000e+01
1.644075264558615412e-01 9.395972752011877427e-02 0.000000000000000000e+00 6.100000000000000000e+01 5.200000000000000000e+01
1.483775865183342146e-01 1.006711180730318345e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.700000000000000000e+01
1.342499044355194848e-01 1.073825244195035084e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.300000000000000000e+01
1.217600745932992112e-01 1.140939538814319115e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.500000000000000000e+01
1.106856791898301745e-01 1.208053361759357375e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.400000000000000000e+01
1.008384769258153374e-01 1.275167711242464474e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.300000000000000000e+01
9.205901475336815409e-02 1.342281796308709974e-01 0.000000000000000000e+00 6.200000000000000000e+01 5.300000000000000000e+01
8.421134962906599852e-02 1.409395880543195811e-01 0.000000000000000000e+00 6.500000000000000000e+01 5.700000000000000000e+01
7.717932617381215166e-02 1.476509963880273113e-01 0.000000000000000000e+00 6.500000000000000000e+01 5.800000000000000000e+01
7.086332586571626735e-02 1.543624046288838980e-01 0.000000000000000000e+00 6.400000000000000000e+01 5.500000000000000000e+01
6.517763208443526357e-02 1.610738127662174890e-01 0.000000000000000000e+00 6.400000000000000000e+01 5.600000000000000000e+01
6.004825789820915360e-02 1.677852207963193565e-01 0.000000000000000000e+00 5.800000000000000000e+01 4.900000000000000000e+01
5.541114812439309339e-02 1.744966287112280634e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.300000000000000000e+01
5.121068537551830280e-02 1.812080365028488904e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.400000000000000000e+01
4.739844408692025363e-02 1.879194441677364824e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.100000000000000000e+01
4.393214764744968887e-02 1.946308516933603627e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.000000000000000000e+01
4.077479251004765409e-02 2.013422590767990350e-01 0.000000000000000000e+00 5.800000000000000000e+01 4.900000000000000000e+01
3.789391013787098139e-02 2.080536663043865420e-01 0.000000000000000000e+00 5.500000000000000000e+01 4.600000000000000000e+01
3.526094308062269894e-02 2.147650733714678295e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.400000000000000000e+01
3.285071595024102731e-02 2.214764802663750642e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
3.064098549991963252e-02 2.281878869838592505e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
2.861205690881686928e-02 2.348992935102554580e-01 0.000000000000000000e+00 5.600000000000000000e+01 4.600000000000000000e+01
2.674645561710420338e-02 2.416106998412456963e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.400000000000000000e+01
2.502864592663811560e-02 2.483221059559862776e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.400000000000000000e+01
2.344478907272038934e-02 2.550335118628915820e-01 0.000000000000000000e+00 5.200000000000000000e+01 4.200000000000000000e+01
2.198253473441574846e-02 2.617449175266745032e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.400000000000000000e+01
2.063084089287494857e-02 2.684563229595597345e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
1.937981786053830438e-02 2.751677281316552426e-01 0.000000000000000000e+00 5.100000000000000000e+01 4.100000000000000000e+01
1.822059289913202998e-02 2.818791330389977534e-01 0.000000000000000000e+00 5.100000000000000000e+01 4.100000000000000000e+01
1.714519247071402686e-02 2.885905376680210632e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.614643960450977758e-02 2.953019420094669667e-01 0.000000000000000000e+00 4.700000000000000000e+01 3.700000000000000000e+01
1.521786424506870600e-02 3.020133460537775538e-01 0.000000000000000000e+00 4.700000000000000000e+01 3.700000000000000000e+01
1.435362480155901246e-02 3.087247497788898065e-01 0.000000000000000000e+00 4.900000000000000000e+01 3.900000000000000000e+01
1.354843933842561458e-02 3.154361531814328101e-01 0.000000000000000000e+00 4.800000000000000000e+01 3.800000000000000000e+01
1.279752514306900513e-02 3.221475562318828478e-01 0.000000000000000000e+00 4.900000000000000000e+01 3.900000000000000000e+01
1.209654551742546207e-02 3.288589589319173001e-01 0.000000000000000000e+00 4.800000000000000000e+01 3.800000000000000000e+01
1.144156288175236270e-02 3.355703612250826584e-01 0.000000000000000000e+00 4.600000000000000000e+01 3.600000000000000000e+01
1.082899732353701308e-02 3.422817631792271498e-01 0.000000000000000000e+00 4.700000000000000000e+01 3.700000000000000000e+01
1.025558997441611969e-02 3.489931646962697864e-01 0.000000000000000000e+00 4.600000000000000000e+01 3.600000000000000000e+01
9.718370496073391179e-03 3.557045657822295870e-01 0.000000000000000000e+00 4.500000000000000000e+01 3.500000000000000000e+01
9.214628263268026184e-03 3.624159664009096726e-01 0.000000000000000000e+00 4.400000000000000000e+01 3.400000000000000000e+01
